Bike_count,Temp,Humidity,Dew_pt_temp,Radiation,Rain,Snow
449,1.7,23,-17.2,1.11,0.0,0.0
479,4.3,41,-7.8,1.09,0.0,0.0
333,5.8,85,3.4,0.43,0.0,0.0
393,-0.3,38,-12.9,1.11,0.0,0.0
321,-2.3,25,-19.7,0.0,0.0,0.0
405,2.4,52,-6.4,1.08,0.0,0.0
431,3.7,65,-2.2,0.98,0.0,0.3
355,-2.0,30,-17.3,1.14,0.0,0.0
427,2.4,40,-9.8,1.05,0.0,0.0
119,2.3,88,0.5,0.28,0.0,3.1
247,-5.2,33,-19.0,1.26,0.0,0.0
228,-8.3,35,-21.0,1.14,0.0,0.0
267,-6.5,30,-21.2,1.17,0.0,0.0
278,-4.9,34,-18.3,0.6,0.0,0.0
309,-2.5,43,-13.3,0.34,0.0,0.0
252,-4.1,28,-19.9,1.08,0.0,0.0
216,-4.9,25,-21.9,1.08,0.0,0.0
62,-1.8,83,-4.3,0.09,1.1,5.1
191,-2.5,31,-17.3,1.08,0.0,2.3
209,-3.2,49,-12.4,0.53,0.0,1.9
290,1.9,40,-10.3,1.04,0.0,1.9
301,4.5,56,-3.5,0.71,0.0,0.0
325,7.0,72,2.2,0.64,0.0,0.0
4,4.1,91,2.7,0.07,9.5,0.0
221,-1.6,33,-15.8,1.18,0.0,0.0
262,-1.3,23,-19.8,1.09,0.0,0.0
230,-5.5,21,-24.4,1.08,0.0,0.0
286,-0.8,38,-13.3,0.75,0.0,0.0
363,4.3,62,-2.3,0.52,0.0,0.0
274,3.2,64,-2.9,0.47,0.0,0.0
209,1.4,47,-8.7,1.1,0.0,1.0
225,1.5,20,-19.0,1.03,0.0,0.0
293,0.9,29,-15.1,0.88,0.0,0.0
297,-3.4,32,-17.7,1.02,0.0,0.0
290,-2.9,33,-16.9,0.92,0.0,0.0
362,-0.3,45,-10.8,1.01,0.0,0.0
283,0.0,35,-13.6,1.07,0.0,0.0
278,1.1,34,-13.0,0.6,0.0,0.0
356,2.7,33,-12.0,0.6,0.0,0.0
262,-2.7,45,-13.0,1.05,0.0,0.4
217,-5.6,44,-15.9,1.1,0.0,0.5
187,-8.6,40,-19.8,1.11,0.0,0.0
178,-9.6,27,-25.1,1.17,0.0,0.0
174,-3.7,66,-9.1,0.45,0.2,0.4
226,1.2,58,-6.1,0.74,0.0,0.0
311,6.2,64,-0.1,0.79,0.0,0.0
276,5.2,52,-3.8,0.45,0.0,0.0
310,8.1,51,-1.4,0.75,0.0,0.0
267,2.5,72,-2.0,0.0,0.0,0.0
341,4.3,28,-12.6,0.98,0.0,0.0
325,5.3,55,-3.0,0.85,0.0,0.0
271,3.9,30,-12.1,0.91,0.0,0.0
323,3.9,28,-12.9,0.6,0.0,0.0
180,-11.3,27,-26.6,1.18,0.0,1.0
121,-12.2,26,-27.8,1.17,0.0,0.9
142,-12.8,25,-28.7,1.16,0.0,0.6
111,-14.4,30,-28.2,1.17,0.0,0.5
145,-7.7,32,-21.5,1.13,0.0,0.3
189,-3.5,26,-20.2,1.07,0.0,0.0
186,-7.3,23,-24.9,1.17,0.0,0.0
253,-3.2,32,-17.5,1.01,0.0,0.0
160,-1.0,35,-14.5,0.64,0.0,3.0
240,-1.1,31,-16.1,1.2,0.0,1.3
303,0.9,37,-12.1,1.12,0.0,0.0
192,-6.0,38,-18.0,2.04,0.0,0.0
165,-8.3,32,-22.1,1.99,0.0,0.0
157,-7.8,28,-23.1,2.12,0.0,0.0
172,-8.2,31,-22.3,2.09,0.0,0.0
188,-6.0,24,-23.3,1.97,0.0,0.0
253,-1.5,35,-15.0,1.9,0.0,0.0
260,1.6,28,-14.9,0.88,0.0,0.0
248,2.9,53,-5.7,1.37,0.0,0.0
174,-3.9,28,-19.7,2.12,0.0,0.0
